Season,Player,From_Club,To_Club,From_League,To_League,Fee
18/19,Kenan Kodro,1-fsv-mainz-05,fc-kopenhagen,L1,DKMR,1600000.0
18/19,Besar Halimi,1-fsv-mainz-05,brondby-if,L1,DKMR,300000.0
18/19,Luca Waldschmidt,hamburger-sv,sc-freiburg,L2,L1,5000000.0
18/19,Roland Sallai,apoel-nikosia,sc-freiburg,ZYP1,L1,4500000.0
18/19,Dominique Heintz,1-fc-koln,sc-freiburg,L2,L1,3000000.0
18/19,Mark Flekken,msv-duisburg,sc-freiburg,L2,L1,2000000.0
18/19,Philipp Lienhart,real-madrid,sc-freiburg,ES1,L1,2000000.0
18/19,Jérôme Gondorf,sv-werder-bremen,sc-freiburg,L1,L1,1300000.0
18/19,Çağlar Söyüncü,sc-freiburg,leicester-city,L1,GB1,21100000.0
18/19,Mats Møller Dæhli,sc-freiburg,fc-st-pauli,L1,L2,600000.0
18/19,Aleksandar Ignjovski,sc-freiburg,1-fc-magdeburg,L1,L2,350000.0
18/19,Caleb Stanko,sc-freiburg,fc-cincinnati,L1,,200000.0
18/19,Rafal Gikiewicz,sc-freiburg,1-fc-union-berlin,L1,L2,150000.0
18/19,Lucas Hufnagel,sc-freiburg,spvgg-unterhaching,L1,L3,100000.0
18/19,Wout Weghorst,az-alkmaar,vfl-wolfsburg,NL1,L1,10500000.0
18/19,Daniel Ginczek,vfb-stuttgart,vfl-wolfsburg,L1,L1,10000000.0
18/19,Marcel Tisserand,fc-ingolstadt-04,vfl-wolfsburg,L2,L1,7000000.0
18/19,Jérôme Roussillon,montpellier-hsc,vfl-wolfsburg,FR1,L1,5000000.0
18/19,Felix Klaus,hannover-96,vfl-wolfsburg,L1,L1,3000000.0
18/19,Pavao Pervan,lask,vfl-wolfsburg,A1,L1,500000.0
18/19,Paul Jaeckel,vfl-wolfsburg,spvgg-greuther-furth,L1,L2,200000.0
18/19,Marvin Ducksch,fc-st-pauli,fortuna-dusseldorf,L2,L1,2000000.0
18/19,Benito Raman,standard-luttich,fortuna-dusseldorf,BE1,L1,1500000.0
18/19,Jean Zimmer,vfb-stuttgart,fortuna-dusseldorf,L1,L1,900000.0
18/19,Davor Lovren,gnk-dinamo-zagreb-ii,fortuna-dusseldorf,KR2,L1,750000.0
18/19,Marlon Ritter,fortuna-dusseldorf,sc-paderborn-07,L1,L2,500000.0
18/19,Anderson Lucoqui,fortuna-dusseldorf,arminia-bielefeld,L1,L2,100000.0
18/19,Virgil Misidjan,pfk-ludogorets-razgrad,1-fc-nurnberg,,L1,3000000.0
18/19,Christian Mathenia,hamburger-sv,1-fc-nurnberg,L2,L1,500000.0
19/20,Lucas Hernández,atletico-madrid,fc-bayern-munchen,ES1,L1,80000000.0
19/20,Benjamin Pavard,vfb-stuttgart,fc-bayern-munchen,L2,L1,35000000.0
