"Year","From_League","To_League","Longitude","Latitude","Distinction","Season","From_League_name","To_League_name","Fee_total","From_To"
2018,"FR1","GB1",-1.23348391982723,52.9151915060127,0,"18/19","Ligue 1","Premier League",214500000,"Ligue 1Premier League"
2018,"FR1","GB1",-0.902825003039707,51.9487327557259,1,"18/19","Ligue 1","Premier League",214500000,"Ligue 1Premier League"
2018,"FR1","GB1",-0.50715773909986,51.007018759067,2,"18/19","Ligue 1","Premier League",214500000,"Ligue 1Premier League"
2018,"FR1","GB1",-0.0483169300224944,50.0944164649749,3,"18/19","Ligue 1","Premier League",214500000,"Ligue 1Premier League"
2018,"FR1","GB1",0.471569671614159,49.2151578245876,4,"18/19","Ligue 1","Premier League",214500000,"Ligue 1Premier League"
2018,"FR1","GB1",1.05009122955678,48.3733201666911,5,"18/19","Ligue 1","Premier League",214500000,"Ligue 1Premier League"
2018,"FR1","GB1",1.68456500349082,47.5728072901883,6,"18/19","Ligue 1","Premier League",214500000,"Ligue 1Premier League"
2018,"FR1","GB1",2.37204878953728,46.8173313612665,7,"18/19","Ligue 1","Premier League",214500000,"Ligue 1Premier League"
2018,"GB1","FR1",2.37176463018962,46.8119779916499,0,"18/19","Premier League","Ligue 1",27100000,"Premier LeagueLigue 1"
2018,"GB1","FR1",2.04162192304799,47.7786132011153,1,"18/19","Premier League","Ligue 1",27100000,"Premier LeagueLigue 1"
2018,"GB1","FR1",1.64645766244475,48.7205383798842,2,"18/19","Premier League","Ligue 1",27100000,"Premier LeagueLigue 1"
2018,"GB1","FR1",1.18810431785012,49.6333855997167,3,"18/19","Premier League","Ligue 1",27100000,"Premier LeagueLigue 1"
2018,"GB1","FR1",0.668687381355062,50.5129217736965,4,"18/19","Premier League","Ligue 1",27100000,"Premier LeagueLigue 1"
2018,"GB1","FR1",0.0906155112653373,51.3550682860493,5,"18/19","Premier League","Ligue 1",27100000,"Premier LeagueLigue 1"
2018,"GB1","FR1",-0.543430637412671,52.1559199056416,6,"18/19","Premier League","Ligue 1",27100000,"Premier LeagueLigue 1"
2018,"GB1","FR1",-1.23051084379869,52.9117628954546,7,"18/19","Premier League","Ligue 1",27100000,"Premier LeagueLigue 1"
