Season,Player,From_Club,To_Club,From_League,To_League,Fee
21/22,Roberto Soldado,fc-granada,ud-levante,ES1,ES1,500000.0
21/22,Franco Cervi,benfica-lissabon,celta-vigo,PO1,ES1,5000000.0
21/22,Javi Galán,sd-huesca,celta-vigo,ES2,ES1,4000000.0
21/22,Álvaro Vadillo,celta-vigo,espanyol-barcelona,ES1,ES1,1800000.0
21/22,Santiago Arzamendia,club-cerro-porteno,fc-cadiz,PR1C,ES1,2100000.0
21/22,Tomás Alarcón,cd-ohiggins,fc-cadiz,CLPD,ES1,2000000.0
21/22,Conan Ledesma,club-atletico-rosario-central,fc-cadiz,AR1N,ES1,1800000.0
21/22,Lucas Pérez,fc-elche,fc-cadiz,ES1,ES1,200000.0
21/22,Landry Dimata,rsc-anderlecht,espanyol-barcelona,BE1,ES1,2200000.0
21/22,Ante Budimir,rcd-mallorca,ca-osasuna,ES1,ES1,8000000.0
21/22,Jonás Ramalho,fc-girona,ca-osasuna,ES2,ES1,700000.0
21/22,Marcos André,real-valladolid,fc-valencia,ES2,ES1,8500000.0
21/22,Giorgi Mamardashvili,dinamo-tiflis,fc-valencia,GE1N,ES1,850000.0
21/22,Eray Cömert,fc-basel-1893,fc-valencia,C1,ES1,800000.0
21/22,Jakub Jankto,sampdoria-genua,fc-getafe,IT1,ES1,5160000.0
21/22,Jonathan Silva,cd-leganes,fc-getafe,ES2,ES1,2500000.0
21/22,Stefan Mitrovic,rc-strassburg-alsace,fc-getafe,FR1,ES1,1000000.0
21/22,Amath Ndiaye,fc-getafe,rcd-mallorca,ES1,ES1,3000000.0
21/22,Mamadou Sylla,fc-girona,deportivo-alaves,ES2,ES1,1150000.0
21/22,Ramón Miérez,deportivo-alaves,nk-osijek,ES1,KR1,2500000.0
21/22,Olivier Verdon,deportivo-alaves,pfk-ludogorets-razgrad,ES1,,1000000.0
21/22,Iván Marcone,club-atletico-boca-juniors,fc-elche,AR1N,ES1,4000000.0
21/22,Lucas Boyé,fc-turin,fc-elche,IT1,ES1,3000000.0
21/22,Johan Mojica,fc-girona,fc-elche,ES2,ES1,1200000.0
21/22,Matthew Hoppe,fc-schalke-04,rcd-mallorca,L2,ES1,3500000.0
21/22,Dominik Greif,slovan-bratislava,rcd-mallorca,SLO1,ES1,2500000.0
21/22,Stoichkov,rcd-mallorca,sd-eibar,ES1,ES2,1000000.0
21/22,Fran García,real-madrid-b-castilla-,rayo-vallecano,E3G2,ES1,2000000.0
21/22,Randy Nteka,fc-fuenlabrada,rayo-vallecano,ES2,ES1,1300000.0
21/22,Pathé Ciss,fc-fuenlabrada,rayo-vallecano,ES2,ES1,1000000.0
