,Year,From_League,To_League,Longitude,Latitude,Distinction,Season,From_League_name,To_League_name,Fee_total,From_To,Country
158,2018,ES1,IT1,4.03724704085048,40.7394799779102,8,18/19,LaLiga,Serie A,282450000,LaLigaSerie A,
159,2018,ES1,IT1,5.01710723876747,40.8779469650644,9,18/19,LaLiga,Serie A,282450000,LaLigaSerie A,
160,2018,ES1,IT1,5.99403512968044,41.0357791859507,10,18/19,LaLiga,Serie A,282450000,LaLigaSerie A,
161,2018,ES1,IT1,6.96764803174218,41.2129148145876,11,18/19,LaLiga,Serie A,282450000,LaLigaSerie A,
162,2018,ES1,IT1,7.93756456165165,41.4092844634693,12,18/19,LaLiga,Serie A,282450000,LaLigaSerie A,
163,2018,ES1,IT1,8.90340478404955,41.6248112107466,13,18/19,LaLiga,Serie A,282450000,LaLigaSerie A,
164,2018,ES1,IT1,9.86479036034626,41.8594106303585,14,18/19,LaLiga,Serie A,282450000,LaLigaSerie A,
165,2018,ES1,IT1,10.8213446969245,42.1129908251034,15,18/19,LaLiga,Serie A,282450000,LaLigaSerie A,
166,2018,ES1,IT1,11.7726930926587,42.3854524626373,16,18/19,LaLiga,Serie A,282450000,LaLigaSerie A,
167,2018,ES1,IT1,12.7184628856923,42.6766888143841,17,18/19,LaLiga,Serie A,282450000,LaLigaSerie A,
168,2018,IT1,ES1,12.7176342424351,42.6707410030026,0,18/19,Serie A,LaLiga,55500000,Serie ALaLiga,
169,2018,IT1,ES1,11.7281966415119,42.6884143692046,1,18/19,Serie A,LaLiga,55500000,Serie ALaLiga,
170,2018,IT1,ES1,10.7386030591414,42.6865023742496,2,18/19,Serie A,LaLiga,55500000,Serie ALaLiga,
171,2018,IT1,ES1,9.74924113857098,42.6650057671034,3,18/19,Serie A,LaLiga,55500000,Serie ALaLiga,
172,2018,IT1,ES1,8.76049843230154,42.6239329684093,4,18/19,Serie A,LaLiga,55500000,Serie ALaLiga,
173,2018,IT1,ES1,7.77276225027555,42.5633000671896,5,18/19,Serie A,LaLiga,55500000,Serie ALaLiga,
174,2018,IT1,ES1,6.7864195081602,42.4831308145428,6,18/19,Serie A,LaLiga,55500000,Serie ALaLiga,
175,2018,IT1,ES1,5.80185657578486,42.3834566143402,7,18/19,Serie A,LaLiga,55500000,Serie ALaLiga,
176,2018,IT1,ES1,4.81945912579245,42.264316510924,8,18/19,Serie A,LaLiga,55500000,Serie ALaLiga,
177,2018,IT1,ES1,3.83961198256394,42.1257571738135,9,18/19,Serie A,LaLiga,55500000,Serie ALaLiga,
178,2018,IT1,ES1,2.86269897147501,41.967832879423,10,18/19,Serie A,LaLiga,55500000,Serie ALaLiga,
179,2018,IT1,ES1,1.88910276854414,41.7906054898011,11,18/19,Serie A,LaLiga,55500000,Serie ALaLiga,
180,2018,IT1,ES1,0.91920475053089,41.5941444283982,12,18/19,Serie A,LaLiga,55500000,Serie ALaLiga,
181,2018,IT1,ES1,-0.0466151544568518,41.3785266528715,13,18/19,Serie A,LaLiga,55500000,Serie ALaLiga,
182,2018,IT1,ES1,-1.00797861578819,41.1438366249398,14,18/19,Serie A,LaLiga,55500000,Serie ALaLiga,
183,2018,IT1,ES1,-1.96450904850876,40.8901662772974,15,18/19,Serie A,LaLiga,55500000,Serie ALaLiga,
184,2018,IT1,ES1,-2.91583176085644,40.6176149776032,16,18/19,Serie A,LaLiga,55500000,Serie ALaLiga,
185,2018,FR1,GB1,-1.23348391982723,52.9151915060127,0,18/19,Ligue 1,Premier League,214500000,Ligue 1Premier League,
186,2018,FR1,GB1,-0.902825003039707,51.9487327557259,1,18/19,Ligue 1,Premier League,214500000,Ligue 1Premier League,
187,2018,FR1,GB1,-0.50715773909986,51.007018759067,2,18/19,Ligue 1,Premier League,214500000,Ligue 1Premier League,
188,2018,FR1,GB1,-0.0483169300224944,50.0944164649749,3,18/19,Ligue 1,Premier League,214500000,Ligue 1Premier League,
189,2018,FR1,GB1,0.471569671614159,49.2151578245876,4,18/19,Ligue 1,Premier League,214500000,Ligue 1Premier League,
190,2018,FR1,GB1,1.05009122955678,48.3733201666911,5,18/19,Ligue 1,Premier League,214500000,Ligue 1Premier League,
191,2018,FR1,GB1,1.68456500349082,47.5728072901883,6,18/19,Ligue 1,Premier League,214500000,Ligue 1Premier League,
192,2018,FR1,GB1,2.37204878953728,46.8173313612665,7,18/19,Ligue 1,Premier League,214500000,Ligue 1Premier League,
193,2018,GB1,FR1,2.37176463018962,46.8119779916499,0,18/19,Premier League,Ligue 1,27100000,Premier LeagueLigue 1,
194,2018,GB1,FR1,2.04162192304799,47.7786132011153,1,18/19,Premier League,Ligue 1,27100000,Premier LeagueLigue 1,
195,2018,GB1,FR1,1.64645766244475,48.7205383798842,2,18/19,Premier League,Ligue 1,27100000,Premier LeagueLigue 1,
196,2018,GB1,FR1,1.18810431785012,49.6333855997167,3,18/19,Premier League,Ligue 1,27100000,Premier LeagueLigue 1,
197,2018,GB1,FR1,0.668687381355062,50.5129217736965,4,18/19,Premier League,Ligue 1,27100000,Premier LeagueLigue 1,
198,2018,GB1,FR1,0.0906155112653373,51.3550682860493,5,18/19,Premier League,Ligue 1,27100000,Premier LeagueLigue 1,
199,2018,GB1,FR1,-0.543430637412671,52.1559199056416,6,18/19,Premier League,Ligue 1,27100000,Premier LeagueLigue 1,
200,2018,GB1,FR1,-1.23051084379869,52.9117628954546,7,18/19,Premier League,Ligue 1,27100000,Premier LeagueLigue 1,
201,2018,FR1,IT1,2.37576335904583,46.814721861778,0,18/19,Ligue 1,Serie A,68700000,Ligue 1Serie A,
202,2018,FR1,IT1,3.24330021862586,46.2823942206911,1,18/19,Ligue 1,Serie A,68700000,Ligue 1Serie A,
203,2018,FR1,IT1,4.12839593265903,45.7798024408189,2,18/19,Ligue 1,Serie A,68700000,Ligue 1Serie A,
204,2018,FR1,IT1,5.03003166459711,45.3075250571899,3,18/19,Ligue 1,Serie A,68700000,Ligue 1Serie A,
205,2018,FR1,IT1,5.94716953862356,44.8661057098327,4,18/19,Ligue 1,Serie A,68700000,Ligue 1Serie A,
206,2018,FR1,IT1,6.8787538343558,44.4560525179903,5,18/19,Ligue 1,Serie A,68700000,Ligue 1Serie A,
207,2018,FR1,IT1,7.82371220208832,44.0778374952224,6,18/19,Ligue 1,Serie A,68700000,Ligue 1Serie A,
208,2018,FR1,IT1,8.78095689717794,43.7318960060688,7,18/19,Ligue 1,Serie A,68700000,Ligue 1Serie A,
209,2018,FR1,IT1,9.74938603215024,43.4186262649002,8,18/19,Ligue 1,Serie A,68700000,Ligue 1Serie A,
210,2018,FR1,IT1,10.7278848450857,43.1383888775321,9,18/19,Ligue 1,Serie A,68700000,Ligue 1Serie A,
211,2018,FR1,IT1,11.7153269828259,42.8915064261303,10,18/19,Ligue 1,Serie A,68700000,Ligue 1Serie A,
212,2018,FR1,IT1,12.7105757975221,42.6782630978858,11,18/19,Ligue 1,Serie A,68700000,Ligue 1Serie A,
213,2018,IT1,FR1,12.7174978118279,42.6726928267669,0,18/19,Serie A,Ligue 1,38150000,Serie ALigue 1,
214,2018,IT1,FR1,11.8498773442848,43.2048841875529,1,18/19,Serie A,Ligue 1,38150000,Serie ALigue 1,
215,2018,IT1,FR1,10.9647026934499,43.7073369293251,2,18/19,Serie A,Ligue 1,38150000,Serie ALigue 1,
216,2018,IT1,FR1,10.0629927867361,44.1794726771023,3,18/19,Serie A,Ligue 1,38150000,Serie ALigue 1,
217,2018,IT1,FR1,9.14578558534252,44.6207479538932,4,18/19,Serie A,Ligue 1,38150000,Serie ALigue 1,
