Season,Player,From_Club,To_Club,From_League,To_League,Fee
19/20,Denis Bouanga,nimes-olympique,as-saint-etienne,FR1,FR1,4500000.0
19/20,Sada Thioub,nimes-olympique,sco-angers,FR1,FR1,3500000.0
19/20,Antonin Bobichon,nimes-olympique,sco-angers,FR1,FR1,1500000.0
19/20,Umut Bozok,nimes-olympique,fc-lorient,FR1,FR2,1500000.0
19/20,Wissam Ben Yedder,fc-sevilla,as-monaco,ES1,FR1,40000000.0
19/20,Gelson Martins,atletico-madrid,as-monaco,ES1,FR1,30000000.0
19/20,Guillermo Maripán,deportivo-alaves,as-monaco,ES1,FR1,18000000.0
19/20,Aurélien Tchouaméni,fc-girondins-bordeaux,as-monaco,FR1,FR1,18000000.0
19/20,Youssouf Fofana,rc-strassburg-alsace,as-monaco,FR1,FR1,15000000.0
19/20,Benjamin Lecomte,montpellier-hsc,as-monaco,FR1,FR1,13500000.0
19/20,Henry Onyekuru,fc-everton,as-monaco,GB1,FR1,13500000.0
19/20,Strahinja Pavlovic,fk-partizan-belgrad,as-monaco,SER1,FR1,10000000.0
19/20,Arthur Zagré,fc-paris-saint-germain,as-monaco,FR1,FR1,10000000.0
19/20,Jean Marcelin,aj-auxerre,as-monaco,FR2,FR1,10000000.0
19/20,Ruben Aguilar,montpellier-hsc,as-monaco,FR1,FR1,8000000.0
19/20,Radoslaw Majecki,legia-warschau,as-monaco,PL1,FR1,7000000.0
19/20,Youri Tielemans,as-monaco,leicester-city,FR1,GB1,45000000.0
19/20,Rony Lopes,as-monaco,fc-sevilla,FR1,ES1,25000000.0
19/20,Ronaël Pierre-Gabriel,as-monaco,1-fsv-mainz-05,FR1,L1,5500000.0
19/20,Ibrahima Diallo,as-monaco,stade-brest-29,FR1,FR1,2000000.0
19/20,Paul Nardi,as-monaco,fc-lorient,FR1,FR2,1500000.0
19/20,Irvin Cardona,as-monaco,stade-brest-29,FR1,FR1,1500000.0
19/20,Téji Savanier,nimes-olympique,montpellier-hsc,FR1,FR1,9500000.0
19/20,Andy Delort,fc-toulouse,montpellier-hsc,FR1,FR1,4500000.0
19/20,Arnaud Souquet,kaa-gent,montpellier-hsc,BE1,FR1,2800000.0
19/20,Jordan Ferri,olympique-lyon,montpellier-hsc,FR1,FR1,2000000.0
19/20,Benjamin Lecomte,montpellier-hsc,as-monaco,FR1,FR1,13500000.0
19/20,Isaac Mbenza,montpellier-hsc,huddersfield-town,FR1,GB2,12500000.0
19/20,Ruben Aguilar,montpellier-hsc,as-monaco,FR1,FR1,8000000.0
19/20,Ellyes Skhiri,montpellier-hsc,1-fc-koln,FR1,L1,6000000.0
19/20,Ludovic Blas,ea-guingamp,fc-nantes,FR2,FR1,8000000.0
19/20,Renaud Emond,standard-luttich,fc-nantes,BE1,FR1,4000000.0
19/20,Marcus Coco,ea-guingamp,fc-nantes,FR2,FR1,3000000.0
19/20,Molla Wagué,udinese-calcio,fc-nantes,IT1,FR1,1200000.0
19/20,Abou Ba,as-nancy-lorraine,fc-nantes,FR2,FR1,1000000.0
19/20,Dennis Appiah,rsc-anderlecht,fc-nantes,BE1,FR1,750000.0
19/20,Diego Carlos,fc-nantes,fc-sevilla,FR1,ES1,15000000.0
