,Unnamed: 0,Year,From_League,To_League,Longitude,Latitude,Distinction,Season,From_League_name,To_League_name,Fee_total,From_To,From_Country,new_distinction
111,111,2018,ES1,FR1,-3.85760381626696,40.3357651584073,9,18/19,LaLiga,Ligue 1,1500000,LaLigaLigue 1,Spain,0
112,112,2018,FR1,ES1,-3.86254233785258,40.3319845511868,0,18/19,Ligue 1,LaLiga,268400000,Ligue 1LaLiga,France,9
113,113,2018,FR1,ES1,-2.98977831638016,40.848049527869,1,18/19,Ligue 1,LaLiga,268400000,Ligue 1LaLiga,France,8
114,114,2018,FR1,ES1,-2.15387157234636,41.4218962082755,2,18/19,Ligue 1,LaLiga,268400000,Ligue 1LaLiga,France,7
115,115,2018,FR1,ES1,-1.35864141975335,42.0509026484187,3,18/19,Ligue 1,LaLiga,268400000,Ligue 1LaLiga,France,6
116,116,2018,FR1,ES1,-0.607721318527698,42.7321948756678,4,18/19,Ligue 1,LaLiga,268400000,Ligue 1LaLiga,France,5
117,117,2018,FR1,ES1,0.095457727001893,43.4626600201222,5,18/19,Ligue 1,LaLiga,268400000,Ligue 1LaLiga,France,4
118,118,2018,FR1,ES1,0.747682844593614,44.2389605375233,6,18/19,Ligue 1,LaLiga,268400000,Ligue 1LaLiga,France,3
119,119,2018,FR1,ES1,1.34597397392136,45.0575494587178,7,18/19,Ligue 1,LaLiga,268400000,Ligue 1LaLiga,France,2
120,120,2018,FR1,ES1,1.88759748267034,45.9146865959982,8,18/19,Ligue 1,LaLiga,268400000,Ligue 1LaLiga,France,1
121,121,2018,FR1,ES1,2.37007865668653,46.8064556322709,9,18/19,Ligue 1,LaLiga,268400000,Ligue 1LaLiga,France,0
122,122,2018,ES1,GB1,-3.86656631069273,40.3330288573205,0,18/19,LaLiga,Premier League,232950000,LaLigaPremier League,Spain,0
123,123,2018,ES1,GB1,-3.50117836266055,41.2574101804816,1,18/19,LaLiga,Premier League,232950000,LaLigaPremier League,Spain,1
124,124,2018,ES1,GB1,-3.16218692218413,42.1917944624876,2,18/19,LaLiga,Premier League,232950000,LaLigaPremier League,Spain,2
125,125,2018,ES1,GB1,-2.84986539324417,43.1354281020622,3,18/19,LaLiga,Premier League,232950000,LaLigaPremier League,Spain,3
126,126,2018,ES1,GB1,-2.56446566995682,44.0875500381206,4,18/19,LaLiga,Premier League,232950000,LaLigaPremier League,Spain,4
127,127,2018,ES1,GB1,-2.30621793341553,45.0473923635822,5,18/19,LaLiga,Premier League,232950000,LaLigaPremier League,Spain,5
128,128,2018,ES1,GB1,-2.07533046604502,46.014180944704,6,18/19,LaLiga,Premier League,232950000,LaLigaPremier League,Spain,6
129,129,2018,ES1,GB1,-1.87198948361698,46.9871360454364,7,18/19,LaLiga,Premier League,232950000,LaLigaPremier League,Spain,7
130,130,2018,ES1,GB1,-1.69635898506291,47.9654729562978,8,18/19,LaLiga,Premier League,232950000,LaLigaPremier League,Spain,8
131,131,2018,ES1,GB1,-1.54858062020555,48.9484026272592,9,18/19,LaLiga,Premier League,232950000,LaLigaPremier League,Spain,9
132,132,2018,ES1,GB1,-1.42877357551507,49.9351323041305,10,18/19,LaLiga,Premier League,232950000,LaLigaPremier League,Spain,10
133,133,2018,ES1,GB1,-1.33703447798266,50.9248661679344,11,18/19,LaLiga,Premier League,232950000,LaLigaPremier League,Spain,11
134,134,2018,ES1,GB1,-1.27343731718879,51.916805976751,12,18/19,LaLiga,Premier League,232950000,LaLigaPremier League,Spain,12
135,135,2018,ES1,GB1,-1.2380333856289,52.9101517095179,13,18/19,LaLiga,Premier League,232950000,LaLigaPremier League,Spain,13
136,136,2018,GB1,ES1,-1.23079067911815,52.9137918641723,0,18/19,Premier League,LaLiga,83000000,Premier LeagueLaLiga,United Kingdom,0
137,137,2018,GB1,ES1,-1.59603341971231,51.9893531568372,1,18/19,Premier League,LaLiga,83000000,Premier LeagueLaLiga,United Kingdom,1
138,138,2018,GB1,ES1,-1.93487808179957,51.0549156371757,2,18/19,Premier League,LaLiga,83000000,Premier LeagueLaLiga,United Kingdom,2
139,139,2018,GB1,ES1,-2.24705137977919,50.1112329494015,3,18/19,Premier League,LaLiga,83000000,Premier LeagueLaLiga,United Kingdom,3
140,140,2018,GB1,ES1,-2.53230153908652,49.1590661941578,4,18/19,Premier League,LaLiga,83000000,Premier LeagueLaLiga,United Kingdom,4
141,141,2018,GB1,ES1,-2.79039849925471,48.1991833146729,5,18/19,Premier League,LaLiga,83000000,Premier LeagueLaLiga,United Kingdom,5
142,142,2018,GB1,ES1,-3.02113409946348,47.2323584773976,6,18/19,Premier League,LaLiga,83000000,Premier LeagueLaLiga,United Kingdom,6
143,143,2018,GB1,ES1,-3.22432224642532,46.2593714476226,7,18/19,Premier League,LaLiga,83000000,Premier LeagueLaLiga,United Kingdom,7
144,144,2018,GB1,ES1,-3.39979906447384,45.2810069605813,8,18/19,Premier League,LaLiga,83000000,Premier LeagueLaLiga,United Kingdom,8
145,145,2018,GB1,ES1,-3.547423027733,44.2980540885432,9,18/19,Premier League,LaLiga,83000000,Premier LeagueLaLiga,United Kingdom,9
146,146,2018,GB1,ES1,-3.66707507426087,43.3113056044107,10,18/19,Premier League,LaLiga,83000000,Premier LeagueLaLiga,United Kingdom,10
147,147,2018,GB1,ES1,-3.75865870207564,42.3215573423296,11,18/19,Premier League,LaLiga,83000000,Premier LeagueLaLiga,United Kingdom,11
148,148,2018,GB1,ES1,-3.82210004698658,41.3296075558323,12,18/19,Premier League,LaLiga,83000000,Premier LeagueLaLiga,United Kingdom,12
149,149,2018,GB1,ES1,-3.85734794216713,40.3362562740284,13,18/19,Premier League,LaLiga,83000000,Premier LeagueLaLiga,United Kingdom,13
150,150,2018,ES1,IT1,-3.86096634570212,40.3337998805472,0,18/19,LaLiga,Serie A,282450000,LaLigaSerie A,Spain,0
151,151,2018,ES1,IT1,-2.87153041486559,40.3160332611943,1,18/19,LaLiga,Serie A,282450000,LaLigaSerie A,Spain,1
152,152,2018,ES1,IT1,-1.88193665668721,40.3178519882105,2,18/19,LaLiga,Serie A,282450000,LaLigaSerie A,Spain,2
153,153,2018,ES1,IT1,-0.892572714483214,40.3392553491647,3,18/19,LaLiga,Serie A,282450000,LaLigaSerie A,Spain,3
154,154,2018,ES1,IT1,0.0961738584536387,40.3802349599399,4,18/19,LaLiga,Serie A,282450000,LaLigaSerie A,Spain,4
155,155,2018,ES1,IT1,1.08391575066612,40.4407747680175,5,18/19,LaLiga,Serie A,282450000,LaLigaSerie A,Spain,5
156,156,2018,ES1,IT1,2.07026604425032,40.5208510587654,6,18/19,LaLiga,Serie A,282450000,LaLigaSerie A,Spain,6
157,157,2018,ES1,IT1,3.05483836641879,40.6204324647273,7,18/19,LaLiga,Serie A,282450000,LaLigaSerie A,Spain,7
158,158,2018,ES1,IT1,4.03724704085048,40.7394799779102,8,18/19,LaLiga,Serie A,282450000,LaLigaSerie A,Spain,8
159,159,2018,ES1,IT1,5.01710723876747,40.8779469650644,9,18/19,LaLiga,Serie A,282450000,LaLigaSerie A,Spain,9
160,160,2018,ES1,IT1,5.99403512968044,41.0357791859507,10,18/19,LaLiga,Serie A,282450000,LaLigaSerie A,Spain,10
161,161,2018,ES1,IT1,6.96764803174218,41.2129148145876,11,18/19,LaLiga,Serie A,282450000,LaLigaSerie A,Spain,11
162,162,2018,ES1,IT1,7.93756456165165,41.4092844634693,12,18/19,LaLiga,Serie A,282450000,LaLigaSerie A,Spain,12
163,163,2018,ES1,IT1,8.90340478404955,41.6248112107466,13,18/19,LaLiga,Serie A,282450000,LaLigaSerie A,Spain,13
164,164,2018,ES1,IT1,9.86479036034626,41.8594106303585,14,18/19,LaLiga,Serie A,282450000,LaLigaSerie A,Spain,14
165,165,2018,ES1,IT1,10.8213446969245,42.1129908251034,15,18/19,LaLiga,Serie A,282450000,LaLigaSerie A,Spain,15
166,166,2018,ES1,IT1,11.7726930926587,42.3854524626373,16,18/19,LaLiga,Serie A,282450000,LaLigaSerie A,Spain,16
167,167,2018,ES1,IT1,12.7184628856923,42.6766888143841,17,18/19,LaLiga,Serie A,282450000,LaLigaSerie A,Spain,17
168,168,2018,IT1,ES1,12.7176342424351,42.6707410030026,0,18/19,Serie A,LaLiga,55500000,Serie ALaLiga,Italy,0
169,169,2018,IT1,ES1,11.7281966415119,42.6884143692046,1,18/19,Serie A,LaLiga,55500000,Serie ALaLiga,Italy,1
170,170,2018,IT1,ES1,10.7386030591414,42.6865023742496,2,18/19,Serie A,LaLiga,55500000,Serie ALaLiga,Italy,2
171,171,2018,IT1,ES1,9.74924113857098,42.6650057671034,3,18/19,Serie A,LaLiga,55500000,Serie ALaLiga,Italy,3
