league,season,income,spending
SC2,20/21,1700000,0
SC2,21/22,0,0
SC2,19/20,0,0
SC2,18/19,0,0
SC2,22/23,0,0
SL1,20/21,0,0
SL1,21/22,0,100000
SL1,19/20,0,0
SL1,18/19,5000000,0
SL1,22/23,1060000,0
RLSW,20/21,0,0
RLSW,21/22,200000,0
RLSW,19/20,0,0
RLSW,18/19,0,0
RLSW,22/23,50000,0
VZ1C,20/21,0,0
VZ1C,21/22,0,0
VZ1C,19/20,0,0
VZ1C,18/19,450000,0
VZ1C,22/23,0,0
FI1,20/21,0,0
FI1,21/22,0,0
FI1,19/20,700000,0
FI1,18/19,0,0
FI1,22/23,0,0
DKAR,20/21,1300000,0
DKAR,21/22,23800000,0
DKAR,19/20,0,0
DKAR,18/19,0,0
DKAR,22/23,4850000,0
RLB3,20/21,0,0
RLB3,21/22,1500000,0
RLB3,19/20,0,0
RLB3,18/19,0,0
RLB3,22/23,0,0
IT4C,20/21,0,0
IT4C,21/22,0,0
IT4C,19/20,93000,0
IT4C,18/19,100000,0
IT4C,22/23,0,0
ALG1,20/21,0,100000
ALG1,21/22,0,0
ALG1,19/20,4000000,0
ALG1,18/19,0,0
ALG1,22/23,0,0
L2,20/21,8910000,3120000
L2,21/22,88350000,3450000
L2,19/20,106750000,11355000
L2,18/19,56300000,9650000
L2,22/23,22800000,6180000
CSL,20/21,27000000,4500000
CSL,21/22,6000000,0
CSL,19/20,0,47000000
CSL,18/19,38400000,116150000
CSL,22/23,0,5500000
C1,20/21,35900000,0
C1,21/22,34900000,4375000
C1,19/20,40200000,3570000
C1,18/19,64000000,9850000
C1,22/23,19200000,8450000
PDV1,20/21,0,0
PDV1,21/22,0,0
PDV1,19/20,0,0
PDV1,18/19,0,0
PDV1,22/23,950000,0
IT4A,20/21,0,0
IT4A,21/22,0,1000
IT4A,19/20,0,0
IT4A,18/19,0,0
IT4A,22/23,0,0
GB1,20/21,476205000,1547319000
GB1,21/22,834225000,1670970000
GB1,19/20,912800000,1749335000
GB1,18/19,545040000,1624710000
GB1,22/23,1065010000,3076767000
BRA1,20/21,20000000,26980000
BRA1,21/22,57750000,9600000
BRA1,19/20,183200000,44280000
BRA1,18/19,174650000,1700000
BRA1,22/23,117100000,22600000
EGY1,20/21,0,0
EGY1,21/22,0,1800000
EGY1,19/20,0,0
EGY1,18/19,0,0
EGY1,22/23,0,0
PT3A,20/21,1000000,0
PT3A,21/22,580000,0
PT3A,19/20,0,100000
PT3A,18/19,4000000,0
PT3A,22/23,2000000,0
BE1,20/21,118550000,8010000
BE1,21/22,100600000,31750000
BE1,19/20,225770000,38300000
BE1,18/19,55750000,12600000
BE1,22/23,174690000,15830000
GE1N,20/21,0,0
GE1N,21/22,850000,0
GE1N,19/20,0,0
GE1N,18/19,0,0
GE1N,22/23,13300000,0
L3,20/21,3500000,200000
L3,21/22,0,0
L3,19/20,4800000,200000
L3,18/19,1400000,100000
L3,22/23,3535000,200000
FR1,20/21,411510000,455360000
FR1,21/22,486900000,467820000
FR1,19/20,962455000,826815000
FR1,18/19,967350000,741160000
FR1,22/23,791630000,706140000
SER1,20/21,800000,0
SER1,21/22,9000000,0
SER1,19/20,20000000,3000000
SER1,18/19,24250000,800000
SER1,22/23,4600000,0
COLP,20/21,0,0
COLP,21/22,9700000,0
COLP,19/20,0,0
COLP,18/19,0,0
COLP,22/23,3500000,300000
GR1,20/21,17180000,1500000
GR1,21/22,27100000,9800000
GR1,19/20,27100000,6700000
GR1,18/19,0,2900000
GR1,22/23,2400000,3000000
IT1,20/21,780391000,926612000
IT1,21/22,681296000,813947000
IT1,19/20,997170000,1428388000
IT1,18/19,908140000,1279671000
IT1,22/23,883187000,862280000
SLO1,20/21,0,350000
SLO1,21/22,8180000,0
SLO1,19/20,0,250000
SLO1,18/19,5300000,200000
SLO1,22/23,0,0
IT3C,20/21,175000,0
IT3C,21/22,0,300000
IT3C,19/20,2075000,191000
IT3C,18/19,1750000,0
IT3C,22/23,9200000,508000
SE3N,20/21,0,0
SE3N,21/22,0,0
SE3N,19/20,2000000,0
SE3N,18/19,0,0
SE3N,22/23,0,0
A1,20/21,52000000,4500000
A1,21/22,61950000,0
A1,19/20,117980000,10500000
A1,18/19,57600000,2900000
A1,22/23,96200000,7500000
IT4E,20/21,0,0
IT4E,21/22,7000,0
IT4E,19/20,35000,0
IT4E,18/19,0,0
IT4E,22/23,0,0
SFA1,20/21,0,0
SFA1,21/22,0,0
SFA1,19/20,0,0
SFA1,18/19,4400000,0
SFA1,22/23,0,0
GB4,20/21,0,0
GB4,21/22,0,0
GB4,19/20,1100000,0
GB4,18/19,1700000,250000
GB4,22/23,0,0
DK2,20/21,1600000,0
DK2,21/22,2030000,0
DK2,19/20,0,0
DK2,18/19,0,0
DK2,22/23,0,0
IJ2A,20/21,0,0
IJ2A,21/22,0,0
IJ2A,19/20,4000000,0
IJ2A,18/19,0,0
IJ2A,22/23,0,0
GB2,20/21,376600000,13545000
GB2,21/22,97080000,20385000
GB2,19/20,280880000,87750000
GB2,18/19,253750000,81830000
GB2,22/23,216187000,18320000
IT4G,20/21,0,0
IT4G,21/22,0,0
IT4G,19/20,0,0
IT4G,18/19,0,90000
IT4G,22/23,0,0
FR3,20/21,3000000,0
